seller_id,product_id,title,price,discounts,url,img_url,review
52717590,52717588,Ði?n Tho?i Samsung Galaxy M11 (32GB/3GB),3190000,-14%,/di?n-tho?i-samsung-galaxy-m11-32gb-3gb-h?ng-ch?nh-h?ng-p52717588.html?spid=52717590&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/5e/b1/b95a214b23b83e1446b309823f81d459.jpg,(82 nh?n xét)
52611794,50024767,Ði?n Tho?i Vsmart Bee 3,1240000,-11%,/di?n-tho?i-vsmart-bee-3-h?ng-ch?nh-h?ng-p50024767.html?spid=52611794&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/89/d4/d8/59f294826dd2f0233374f24403467e67.jpg,(32 nh?n xét)
52342727,52342723,Ði?n Tho?i  Realme C3i (2GB/32G),2190000,-15%,/di?n-tho?i-realme-c3i-2gb-32g-h?ng-ch?nh-h?ng-p52342723.html?spid=52342727&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/f9/40/3238e7605b209e3d075f71fd3614bfd9.jpg,(47 nh?n xét)
49917543,49917539,Ði?n Tho?i Realme C3,2690000,-10%,/di?n-tho?i-realme-c3-h?ng-ch?nh-h?ng-p49917539.html?spid=49917543&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/32/79/a9/d7d3e3f4e009f1ee63400a52cac553ff.jpg,(34 nh?n xét)
20913601,20913598,Ði?n Tho?i?no?ia 2.2 (16GB/2GB),1520000,-49%,/di?n-tho?i?no?ia-2-2-16gb-2gb-h?ng-ch?nh-h?ng-p20913598.html?spid=20913601&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1e/9c/2a/58a9527e97bbacb7db00b938010b70c7.jpg,(166 nh?n xét)
53090591,53090589,Ði?n Tho?i iPh?ne  SE 64GB ( 2020),11290000,-13%,/di?n-tho?i-iph?ne-se-64gb-2020-nhap-khau-h?ng-ch?nh-h?ng-p53090589.html?spid=53090591&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/16/15/72/7363f6268c34387efc2d4079c537e64e.jpg,(14 nh?n xét)
48307569,48307567,Ði?n Tho?i Samsung Galaxy A01 (16GB/2GB),2790000,,/di?n-tho?i-samsung-galaxy-a01-16gb-2gb-h?ng-ch?nh-h?ng-p48307567.html?spid=48307569&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/94/81/431e8b4d197f263a609445dea6e86932.jpg,(69 nh?n xét)
55311236,55138557,Ði?n tho?i Xiao?i Redmi?note 9 Pro,5690000,-12%,/di?n-tho?i-xiao?i-redmi?note-9-pro-h?ng-ch?nh-h?ng-p55138557.html?spid=55311236&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5b/26/71/578c605b9f68f63eceaa1acee2e8481e.png,(13 nh?n xét)
54060192,34478298,Ði?n Tho?i Realme 5 Pro (4GB/128GB),4290000,-32%,/di?n-tho?i-realme-5-pro-4gb-128gb-h?ng-ch?nh-h?ng-p34478298.html?spid=54060192&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/71/ed/6b/b0721219f398ed2dba3c13acded8f1d6.jpg,(50 nh?n xét)
24153115,24153113,Ði?n Tho?i Vivo Y12 (64GB/3GB),2590000,-38%,/di?n-tho?i-vivo-y12-64gb-3gb-h?ng-ch?nh-h?ng-p24153113.html?spid=24153115&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/61/d0/96/a6f967a3a4101411828cf7e2e49e1731.png,(32 nh?n xét)
55898557,48309215,Ði?n Tho?i Samsung Galaxy A01 (16GB/2GB),1890000,-32%,/di?n-tho?i-samsung-galaxy-a01-16gb-2gb-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p48309215.html?spid=55898557&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5b/d6/a5/c4b9bd7fb598d96e157526e0b4194f00.jpg,(57 nh?n xét)
29882440,29454689,Ði?n Tho?i Samsung Galaxy Note 10 Plus...,15990000,-41%,/di?n-tho?i-samsung-galaxy-note-10-plus-256gb-12gb-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p29454689.html?spid=29882440&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/be/3d/f0/3ef177cecc485b9a9132a87858f0595d.jpg,(112 nh?n xét)
57782473,55646154,Ði?n Tho?i Oppo A92 2020 (8GB/128GB),5990000,-14%,/di?n-tho?i-oppo-a92-2020-8gb-128gb-h?ng-ch?nh-h?ng-p55646154.html?spid=57782473&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a3/d9/15/a58e9c2dca556edb0dc73546c3e04959.jpg,(8 nh?n xét)
53772209,52063654,Ði?n Tho?i Samsung Galaxy M21 (64GB/4GB),5090000,-7%,/di?n-tho?i-samsung-galaxy-m21-64gb-4gb-h?ng-ch?nh-h?ng-p52063654.html?spid=53772209&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e9/4d/8c/7f3ca8af28dbf1281892c07f5c34dc25.jpg,(11 nh?n xét)
17878123,17510352,Ði?n Tho?i Oppo A1K,2350000,-26%,/di?n-tho?i-oppo-a1k-h?ng-ch?nh-h?ng-p17510352.html?spid=17878123&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4e/58/a7/2ff49ea4d1557e2a5fc63ef84b9309b9.jpg,(37 nh?n xét)
15674846,15674844,Ði?n Tho?i OPPO A5s,2690000,-33%,/di?n-tho?i-oppo-a5s-h?ng-ch?nh-h?ng-p15674844.html?spid=15674846&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e0/e9/1d/3e0154ad1c4a9605e81b62ef36e1aead.jpg,(73 nh?n xét)
56027840,56027838,Ði?n Tho?i Samsung Galaxy A21s,4190000,-11%,/di?n-tho?i-samsung-galaxy-a21s-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p56027838.html?spid=56027840&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/51/86/8c/1120b70e34a5c1789c4cf05175ff7914.jpg,(11 nh?n xét)
57787855,55584843,Ði?n tho?i Xiao?i Redmi?note 9 (3GB/64GB),3690000,-8%,/di?n-tho?i-xiao?i-redmi?note-9-3gb-64gb-h?ng-ch?nh-h?ng-p55584843.html?spid=57787855&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/73/b2/996acf29e4ba6c87a948bd40d005c426.png,(12 nh?n xét)
